# lambda [A]	Dlambda [A]	specval [counts]
4.442908767586073736e+03	1.404062736609519524e+00	2.290364123485995265e+02
4.445462765529930948e+03	1.401216526697906861e+00	2.374936523128688748e+02
4.448016545884358493e+03	1.398379080611406700e+00	2.603187556947306689e+02
4.450570108649354552e+03	1.395550406444803215e+00	2.289788875472689256e+02
4.453123453824920944e+03	1.392730512257796649e+00	2.228505009599980440e+02
4.455676581411056759e+03	1.389919406074133335e+00	2.327508612832172901e+02
4.458229491407761998e+03	1.387117095880767481e+00	2.337564335748998872e+02
4.460782183815036660e+03	1.384323589626974993e+00	2.313798151062367765e+02
4.463334658632880746e+03	1.381538895223439534e+00	2.116600028866268985e+02
4.465886915861294256e+03	1.378763020541366568e+00	2.427488973652634456e+02
4.468438955500278098e+03	1.375995973411590079e+00	2.380824338788935677e+02
4.470990777549830455e+03	1.373237761623666175e+00	2.526830811582512695e+02
4.473542382009953144e+03	1.370488392924917864e+00	2.655018445368810376e+02
4.476093768880645257e+03	1.367747875019556192e+00	2.348250338829429893e+02
4.478644938161906794e+03	1.365016215567725455e+00	2.584140033806264114e+02
4.481195889853737754e+03	1.362293422184551295e+00	2.563602345251163683e+02
4.483746623956139047e+03	1.359579502439192566e+00	2.596406623827109570e+02
4.486297140469108854e+03	1.356874463853921853e+00	2.769834039688112171e+02
4.488847439392648994e+03	1.354178313903099395e+00	2.509863228398345143e+02
4.491397520726757648e+03	1.351491060012276035e+00	2.469997491436252233e+02
4.493947384471436635e+03	1.348812709557152711e+00	2.516317364781577339e+02
4.496497030626685046e+03	1.346143269862636771e+00	2.542928563196927882e+02
4.499046459192503789e+03	1.343482748201809018e+00	2.335925862604619283e+02
4.501595670168891047e+03	1.340831151794976028e+00	2.868067936780507807e+02
4.504144663555847728e+03	1.338188487808622096e+00	3.219745748881616692e+02
4.506693439353374742e+03	1.335554763354412255e+00	2.728890081387701230e+02
4.509241997561471180e+03	1.332929985488187530e+00	3.454538649034213336e+02
4.511790338180136132e+03	1.330314161208900670e+00	3.844639585640363180e+02
4.514338461209371417e+03	1.327707297457619839e+00	3.278756291255725159e+02
